,TMAX,TMIN,TAVG
2018-01-08,49.0,24.0,36.5
2018-01-09,68.0,34.0,51.0
2018-01-10,57.0,24.0,40.5
2018-01-11,43.0,21.0,32.0
2018-01-12,46.0,24.0,35.0
2018-01-13,48.0,19.0,33.5
2018-01-14,56.0,21.0,38.5
2018-01-15,30.0,-3.0,13.5
2018-01-16,34.0,-4.0,15.0
2018-01-17,51.0,15.0,33.0
2018-01-18,65.0,28.0,46.5
2018-01-19,67.0,35.0,51.0
2018-01-20,48.0,27.0,37.5
2018-01-21,28.0,23.0,25.5
2018-12-15,55.0,28.0,41.5
2018-12-16,60.0,25.0,42.5
2018-12-17,59.0,26.0,42.5
2018-12-18,57.0,25.0,41.0
2018-12-19,50.0,28.0,39.0
2018-12-20,48.0,19.0,33.5
2018-12-21,63.0,24.0,43.5
2018-12-22,38.0,15.0,26.5
2018-12-23,52.0,11.0,31.5
2018-12-24,47.0,20.0,33.5
2018-12-25,47.0,20.0,33.5
2018-12-26,37.0,19.0,28.0
2018-12-27,30.0,13.0,21.5
2018-12-28,22.0,9.0,15.5
2018-12-29,39.0,5.0,22.0
2018-12-30,53.0,27.0,40.0
2018-12-31,32.0,0.0,16.0
2019-01-01,12.0,-5.0,3.5
2019-01-02,38.0,2.0,20.0
2019-01-03,56.0,16.0,36.0
2019-01-04,62.0,30.0,46.0
2019-01-05,60.0,33.0,46.5
2019-01-06,58.0,30.0,44.0
2019-01-07,52.0,16.0,34.0
2019-01-08,50.0,22.0,36.0
2019-01-09,50.0,23.0,36.5
2019-01-10,61.0,28.0,44.5
2019-01-11,44.0,32.0,38.0
2019-01-12,35.0,17.0,26.0
2019-01-13,35.0,17.0,26.0
2019-01-14,43.0,20.0,31.5
2019-01-15,46.0,21.0,33.5
2019-01-16,46.0,29.0,37.5
2019-01-17,54.0,32.0,43.0
2019-01-18,41.0,23.0,32.0
2019-01-19,48.0,22.0,35.0
2019-01-20,55.0,33.0,44.0
2019-01-21,58.0,22.0,40.0
2019-12-15,31.0,17.0,24.0
2019-12-16,32.0,16.0,24.0
2019-12-17,42.0,15.0,28.5
2019-12-18,57.0,27.0,42.0
2019-12-19,44.0,20.0,32.0
2019-12-20,54.0,17.0,35.5
2019-12-21,65.0,29.0,47.0
2019-12-22,67.0,36.0,51.5
2019-12-23,62.0,37.0,49.5
2019-12-24,51.0,33.0,42.0
2019-12-25,54.0,23.0,38.5
2019-12-26,39.0,17.0,28.0
2019-12-27,35.0,20.0,27.5
2019-12-28,29.0,20.0,24.5
2019-12-29,30.0,3.0,16.5
2019-12-30,31.0,3.0,17.0
2019-12-31,44.0,18.0,31.0
2020-01-01,50.0,24.0,37.0
2020-01-02,45.0,27.0,36.0
2020-01-03,48.0,19.0,33.5
2020-01-04,62.0,28.0,45.0
2020-01-05,45.0,23.0,34.0
2020-01-06,43.0,23.0,33.0
2020-01-07,58.0,27.0,42.5
2020-01-08,62.0,28.0,45.0
2020-01-09,43.0,24.0,33.5
2020-01-10,31.0,9.0,20.0
2020-01-11,43.0,7.0,25.0
2020-01-12,44.0,20.0,32.0
2020-01-13,46.0,15.0,30.5
2020-01-14,58.0,19.0,38.5
2020-01-15,47.0,15.0,31.0
2020-01-16,37.0,18.0,27.5
2020-01-17,55.0,19.0,37.0
2020-01-18,45.0,12.0,28.5
2020-01-19,46.0,11.0,28.5
2020-01-20,52.0,18.0,35.0
2020-01-21,52.0,30.0,41.0
2020-12-15,32.0,8.0,20.0
2020-12-16,40.0,18.0,29.0
2020-12-17,47.0,21.0,34.0
2020-12-18,38.0,18.0,28.0
2020-12-19,44.0,16.0,30.0
2020-12-20,49.0,17.0,33.0
2020-12-21,57.0,34.0,45.5
2020-12-22,63.0,28.0,45.5
2020-12-23,30.0,13.0,21.5
2020-12-24,52.0,19.0,35.5
2020-12-25,60.0,31.0,45.5
2020-12-26,61.0,29.0,45.0
2020-12-27,46.0,26.0,36.0
2020-12-28,30.0,25.0,27.5
2020-12-29,33.0,15.0,24.0
2020-12-30,44.0,7.0,25.5
2020-12-31,43.0,19.0,31.0
2021-01-01,42.0,22.0,32.0
2021-01-02,52.0,23.0,37.5
2021-01-03,53.0,23.0,38.0
2021-01-04,57.0,26.0,41.5
2021-01-05,55.0,28.0,41.5
2021-01-06,44.0,20.0,32.0
2021-01-07,45.0,20.0,32.5
2021-01-08,43.0,19.0,31.0
2021-01-09,32.0,24.0,28.0
2021-01-10,32.0,19.0,25.5
2021-01-11,44.0,17.0,30.5
2021-01-12,54.0,17.0,35.5
2021-01-13,63.0,37.0,50.0
2021-01-14,46.0,24.0,35.0
2021-01-15,45.0,16.0,30.5
2021-01-16,48.0,24.0,36.0
2021-01-17,50.0,26.0,38.0
2021-01-18,39.0,22.0,30.5
2021-01-19,40.0,21.0,30.5
2021-01-20,59.0,22.0,40.5
2021-01-21,49.0,26.0,37.5
2021-12-15,54.0,19.0,36.5
2021-12-16,52.0,16.0,34.0
2021-12-17,44.0,11.0,27.5
2021-12-18,45.0,4.0,24.5
2021-12-19,61.0,27.0,44.0
2021-12-20,60.0,25.0,42.5
2021-12-21,63.0,23.0,43.0
2021-12-22,64.0,29.0,46.5
2021-12-23,62.0,32.0,47.0
2021-12-24,52.0,29.0,40.5
2021-12-25,55.0,26.0,40.5
2021-12-26,53.0,19.0,36.0
2021-12-27,48.0,10.0,29.0
2021-12-28,33.0,15.0,24.0
2021-12-29,33.0,11.0,22.0
2021-12-30,49.0,15.0,32.0
2021-12-31,39.0,9.0,24.0
2022-01-01,8.0,-9.0,-0.5
2022-01-02,40.0,7.0,23.5
2022-01-03,51.0,22.0,36.5
2022-01-04,47.0,18.0,32.5
2022-01-05,34.0,1.0,17.5
2022-01-06,27.0,-2.0,12.5
2022-01-07,57.0,18.0,37.5
2022-01-08,43.0,24.0,33.5
2022-01-09,34.0,19.0,26.5
2022-01-10,56.0,24.0,40.0
2022-01-11,57.0,30.0,43.5
2022-01-12,58.0,30.0,44.0
2022-01-13,62.0,34.0,48.0
2022-01-14,45.0,24.0,34.5
2022-01-15,50.0,18.0,34.0
2022-01-16,57.0,22.0,39.5
2022-01-17,62.0,24.0,43.0
2022-01-18,58.0,24.0,41.0
2022-01-19,31.0,17.0,24.0
2022-01-20,39.0,16.0,27.5
2022-01-21,36.0,16.0,26.0
6.0
